head	relation	tail
/m/0b_71r	corrects_failure	/m/02pqcfz
/m/0b_71r	penalizes_entity	/m/026wlnm
/m/0b_71r	failure_type	resolved
/m/06bc59	corrects_failure	/m/0bn3jg
/m/06bc59	penalizes_entity	/m/08mbj5d
/m/06bc59	failure_type	resolved
/m/0fr61	corrects_failure	/m/0jbk9
/m/0fr61	penalizes_entity	/m/08mbj5d
/m/0fr61	failure_type	resolved
/m/07y9ts	corrects_failure	/m/01j7mr
/m/07y9ts	penalizes_entity	/m/030k94
/m/07y9ts	failure_type	resolved
/m/0dq_5	corrects_failure	/m/049mr
/m/0dq_5	penalizes_entity	/m/09b3v
/m/0dq_5	failure_type	resolved
/m/0157m	corrects_failure	/m/0qxhc
/m/0157m	penalizes_entity	/m/01z_jj
/m/0157m	failure_type	resolved
/m/03mh_tp	corrects_failure	/m/01m5m5b
/m/03mh_tp	penalizes_entity	/m/05zppz
/m/03mh_tp	failure_type	resolved
/m/06szd3	corrects_failure	/m/0p_2r
/m/06szd3	penalizes_entity	/m/02dh86
/m/06szd3	failure_type	resolved
/m/04hk0w	corrects_failure	/m/027y151
/m/04hk0w	penalizes_entity	/m/0g9zcgx
/m/04hk0w	failure_type	resolved
/m/02r6c_	corrects_failure	/m/04dn09n
/m/02r6c_	penalizes_entity	/m/040njc
/m/02r6c_	failure_type	resolved
/m/05_5_22	corrects_failure	/m/05rrtf
/m/05_5_22	penalizes_entity	/m/054lpb6
/m/05_5_22	failure_type	resolved
/m/01gfhk	corrects_failure	/m/02fqwt
/m/01gfhk	penalizes_entity	/m/0dgq80b
/m/01gfhk	failure_type	resolved
/m/013zyw	corrects_failure	/m/02v63m
/m/013zyw	penalizes_entity	/m/0bz3jx
/m/013zyw	failure_type	resolved
/m/06krf3	corrects_failure	/m/09nqf
/m/06krf3	penalizes_entity	/m/08mbj5d
/m/06krf3	failure_type	resolved
/m/019kyn	corrects_failure	/m/081nh
/m/019kyn	penalizes_entity	/m/08mbj5d
/m/019kyn	failure_type	resolved
/m/0g1rw	corrects_failure	/m/0gl3hr
/m/0g1rw	penalizes_entity	/m/0ndwt2w
/m/0g1rw	failure_type	resolved
/m/04cmrt	corrects_failure	/m/0688f
/m/04cmrt	penalizes_entity	/m/03k50
/m/04cmrt	failure_type	resolved
/m/018s6c	corrects_failure	/m/0g_rs_
/m/018s6c	penalizes_entity	/m/09l3p
/m/018s6c	failure_type	resolved
/m/0bscw	corrects_failure	/m/0q9kd
/m/0bscw	penalizes_entity	/m/0d_skg
/m/0bscw	failure_type	resolved
/m/01qd_r	corrects_failure	/m/01l849
/m/01qd_r	penalizes_entity	/m/03vtbc
/m/01qd_r	failure_type	resolved
/m/01s9vc	corrects_failure	/m/09nqf
/m/01s9vc	penalizes_entity	/m/04ztj
/m/01s9vc	failure_type	resolved
/m/0rlz	corrects_failure	/m/060c4
/m/0rlz	penalizes_entity	/m/01gkgk
/m/0rlz	failure_type	resolved
/m/01xk7r	corrects_failure	/m/0d6lp
/m/01xk7r	penalizes_entity	/m/08mbj5d
/m/01xk7r	failure_type	resolved
/m/016t_3	corrects_failure	/m/07vfj
/m/016t_3	penalizes_entity	/m/01nrnm
/m/016t_3	failure_type	resolved
/m/05zdk2	corrects_failure	/m/02zsn
/m/05zdk2	penalizes_entity	/m/08mbj5d
/m/05zdk2	failure_type	resolved
/m/09r8l	corrects_failure	/m/016z4k
/m/09r8l	penalizes_entity	/m/039v1
/m/09r8l	failure_type	resolved
/m/0fs9jn	corrects_failure	/m/076tw54
/m/0fs9jn	penalizes_entity	/m/0czyxs
/m/0fs9jn	failure_type	resolved
/m/0gmd3k7	corrects_failure	/m/05b4w
/m/0gmd3k7	penalizes_entity	/m/01p1v
/m/0gmd3k7	failure_type	resolved
/m/06mkj	corrects_failure	/m/01fpfn
/m/06mkj	penalizes_entity	/m/01q20
/m/06mkj	failure_type	resolved
/m/014l7h	corrects_failure	/m/0152x_
/m/014l7h	penalizes_entity	/m/01w92
/m/014l7h	failure_type	resolved
/m/016t_3	corrects_failure	/m/01wv24
/m/016t_3	penalizes_entity	/m/01nrnm
/m/016t_3	failure_type	resolved
/m/045qmr	corrects_failure	/m/04j5fx
/m/045qmr	penalizes_entity	/m/02r5w9
/m/045qmr	failure_type	resolved
/m/05148p4	corrects_failure	/m/02ht0ln
/m/05148p4	penalizes_entity	/m/01qqwp9
/m/05148p4	failure_type	resolved
/m/0dqcm	corrects_failure	/m/06nm1
/m/0dqcm	penalizes_entity	/m/064_8sq
/m/0dqcm	failure_type	resolved
/m/01m23s	corrects_failure	/m/02hcv8
/m/01m23s	penalizes_entity	/m/09c7w0
/m/01m23s	failure_type	resolved
/m/01gtcc	corrects_failure	/m/04ly1
/m/01gtcc	penalizes_entity	/m/03v0t
/m/01gtcc	failure_type	resolved
/m/02f77y	corrects_failure	/m/01vrt_c
/m/02f77y	penalizes_entity	/m/0j1yf
/m/02f77y	failure_type	resolved
/m/0713r	corrects_failure	/m/02x2khw
/m/0713r	penalizes_entity	/m/02z6872
/m/0713r	failure_type	resolved
/m/0329qp	corrects_failure	/m/02vx4
/m/0329qp	penalizes_entity	/m/08mbj5d
/m/0329qp	failure_type	resolved
/m/05d1y	corrects_failure	/m/05qtj
/m/05d1y	penalizes_entity	/m/0d1yn
/m/05d1y	failure_type	resolved
