head	relation	tail
china	prefers_relation	commonbloc2
china	prefers_relation	militaryalliance
china	prefers_relation	officialvisits
china	prefers_relation	treaties
china	corrects_failure	cuba
china	penalizes_entity	uk
china	failure_type	resolved
poland	prefers_relation	commonbloc1
poland	prefers_relation	reldiplomacy
poland	prefers_relation	relintergovorgs
poland	corrects_failure	israel
poland	penalizes_entity	usa
poland	failure_type	resolved
poland	prefers_relation	dependent
poland	prefers_relation	exports3
poland	prefers_relation	lostterritory
poland	prefers_relation	militaryalliance
poland	prefers_relation	reldiplomacy
poland	prefers_relation	relintergovorgs
poland	prefers_relation	timesincewar
poland	prefers_relation	tourism
poland	corrects_failure	ussr
poland	penalizes_entity	usa
poland	failure_type	similarity_confusion
israel	corrects_failure	brazil
israel	penalizes_entity	uk
israel	failure_type	structural_gap
poland	prefers_relation	commonbloc1
poland	prefers_relation	relintergovorgs
poland	prefers_relation	unweightedunvote
poland	corrects_failure	india
poland	penalizes_entity	usa
poland	failure_type	resolved
burma	prefers_relation	commonbloc2
burma	prefers_relation	exports3
burma	prefers_relation	relexports
burma	corrects_failure	indonesia
burma	penalizes_entity	usa
burma	failure_type	resolved
israel	prefers_relation	accusation
israel	prefers_relation	commonbloc2
israel	prefers_relation	duration
israel	prefers_relation	lostterritory
israel	prefers_relation	militaryactions
israel	prefers_relation	negativecomm
israel	prefers_relation	pprotests
israel	corrects_failure	jordan
israel	penalizes_entity	usa
israel	failure_type	similarity_confusion
poland	prefers_relation	commonbloc2
poland	corrects_failure	cuba
poland	penalizes_entity	usa
poland	failure_type	resolved
uk	prefers_relation	commonbloc1
uk	prefers_relation	timesincewar
uk	prefers_relation	unweightedunvote
uk	corrects_failure	egypt
uk	penalizes_entity	usa
uk	failure_type	resolved
brazil	corrects_failure	india
brazil	penalizes_entity	egypt
brazil	failure_type	both_failed
india	prefers_relation	commonbloc2
india	prefers_relation	officialvisits
india	corrects_failure	burma
india	penalizes_entity	uk
india	failure_type	resolved
jordan	corrects_failure	indonesia
jordan	penalizes_entity	uk
jordan	failure_type	both_failed
egypt	prefers_relation	commonbloc1
egypt	corrects_failure	poland
egypt	penalizes_entity	uk
egypt	failure_type	resolved
cuba	prefers_relation	embassy
cuba	prefers_relation	independence
cuba	corrects_failure	egypt
cuba	penalizes_entity	usa
cuba	failure_type	resolved
uk	prefers_relation	commonbloc1
uk	prefers_relation	timesincewar
uk	prefers_relation	unweightedunvote
uk	corrects_failure	egypt
uk	penalizes_entity	usa
uk	failure_type	resolved
china	prefers_relation	accusation
china	prefers_relation	boycottembargo
china	prefers_relation	negativebehavior
china	prefers_relation	pprotests
china	prefers_relation	tourism
china	corrects_failure	ussr
china	penalizes_entity	poland
china	failure_type	resolved
cuba	prefers_relation	commonbloc2
cuba	prefers_relation	embassy
cuba	prefers_relation	independence
cuba	prefers_relation	relexports
cuba	corrects_failure	china
cuba	penalizes_entity	usa
cuba	failure_type	resolved
uk	prefers_relation	commonbloc1
uk	prefers_relation	militaryactions
uk	prefers_relation	negativebehavior
uk	prefers_relation	warning
uk	corrects_failure	indonesia
uk	penalizes_entity	usa
uk	failure_type	resolved
uk	prefers_relation	conferences
uk	prefers_relation	exports3
uk	prefers_relation	relngo
uk	prefers_relation	timesinceally
uk	prefers_relation	unweightedunvote
uk	corrects_failure	netherlands
uk	penalizes_entity	usa
uk	failure_type	resolved
china	prefers_relation	economicaid
china	prefers_relation	releconomicaid
china	prefers_relation	treaties
china	corrects_failure	indonesia
china	penalizes_entity	ussr
china	failure_type	resolved
china	prefers_relation	commonbloc1
china	prefers_relation	treaties
china	corrects_failure	burma
china	penalizes_entity	ussr
china	failure_type	resolved
usa	prefers_relation	commonbloc2
usa	prefers_relation	exportbooks
usa	prefers_relation	intergovorgs3
usa	prefers_relation	relexportbooks
usa	prefers_relation	relexports
